Transformation ID,Pred Rank,Aryl Halide SMILES,Amine SMILES,Catalyst SMILES,Base SMILES,Solvent SMILES,Product SMILES,Catalyst Name,Base Name,Solvent Name,Trans SMILES,Reaction SMILES,Tested Condition,Prior Fail Count,pred_probability,
T-0,1,C1=CC(=CC=C1C(=O)O)Br,C(CN)C(=O)N,C[NH+]1c2ccccc2-c2ccccc2[Pd-2]1(OS(C)(=O)=O)[P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CS(C)=O,C1=CC(=CC=C1C(=O)O)NCCC(=O)N,p(tbu)3-pd-g4,P2Et,DMSO,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N.C[NH+]1c2ccccc2-c2ccccc2[Pd-2]1(OS(C)(=O)=O)[P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CS(C)=O>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,FALSE,1,0.955,0
T-0,1,C1=CC(=CC=C1C(=O)O)Br,C(CN)C(=O)N,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CCC(C)(C)O,C1=CC(=CC=C1C(=O)O)NCCC(=O)N,ruphos-pd-g4,P2Et,t-AmOH,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N.CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CCC(C)(C)O>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,FALSE,1,0.95,0
T-0,1,C1=CC(=CC=C1C(=O)O)Br,C(CN)C(=O)N,COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CCC(C)(C)O,C1=CC(=CC=C1C(=O)O)NCCC(=O)N,brettphos-pd-g4,P2Et,t-AmOH,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N.COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CCC(C)(C)O>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,FALSE,1,0.95,9
T-0,1,C1=CC(=CC=C1C(=O)O)Br,C(CN)C(=O)N,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CC(=O)N(C)C,C1=CC(=CC=C1C(=O)O)NCCC(=O)N,xphos-pd-g4,P2Et,DMA,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N.CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CC(=O)N(C)C>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,FALSE,1,0.945,39
T-0,1,C1=CC(=CC=C1C(=O)O)Br,C(CN)C(=O)N,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CCC(C)(C)O,C1=CC(=CC=C1C(=O)O)NCCC(=O)N,xphos-pd-g4,P2Et,t-AmOH,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N.CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CCC(C)(C)O>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,FALSE,1,0.945,21
T-0,1,C1=CC(=CC=C1C(=O)O)Br,C(CN)C(=O)N,COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Cc1ccccc1,C1=CC(=CC=C1C(=O)O)NCCC(=O)N,brettphos-pd-g4,P2Et,Toluene,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,C1=CC(=CC=C1C(=O)O)Br.C(CN)C(=O)N.COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Cc1ccccc1>>C1=CC(=CC=C1C(=O)O)NCCC(=O)N,FALSE,1,0.935,8
T-1,1,Brc1cnc2n1cccc2,CCCCNCCCC,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CCC(C)(C)O,CCCCN(CCCC)c1cnc2ccccn12,xphos-pd-g4,P2Et,t-AmOH,Brc1cnc2n1cccc2.CCCCNCCCC>>CCCCN(CCCC)c1cnc2ccccn12,Brc1cnc2n1cccc2.CCCCNCCCC.CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CCC(C)(C)O>>CCCCN(CCCC)c1cnc2ccccn12,FALSE,24,0.96,26
T-1,1,Brc1cnc2n1cccc2,CCCCNCCCC,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CC(=O)N(C)C,CCCCN(CCCC)c1cnc2ccccn12,xphos-pd-g4,P2Et,DMA,Brc1cnc2n1cccc2.CCCCNCCCC>>CCCCN(CCCC)c1cnc2ccccn12,Brc1cnc2n1cccc2.CCCCNCCCC.CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CC(=O)N(C)C>>CCCCN(CCCC)c1cnc2ccccn12,FALSE,24,0.945,18
T-1,1,Brc1cnc2n1cccc2,CCCCNCCCC,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CCC(C)(C)O,CCCCN(CCCC)c1cnc2ccccn12,ruphos-pd-g4,P2Et,t-AmOH,Brc1cnc2n1cccc2.CCCCNCCCC>>CCCCN(CCCC)c1cnc2ccccn12,Brc1cnc2n1cccc2.CCCCNCCCC.CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CCC(C)(C)O>>CCCCN(CCCC)c1cnc2ccccn12,FALSE,24,0.94,0
T-1,1,Brc1cnc2n1cccc2,CCCCNCCCC,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,Cc1ccccc1,CCCCN(CCCC)c1cnc2ccccn12,xphos-pd-g4,P2Et,Toluene,Brc1cnc2n1cccc2.CCCCNCCCC>>CCCCN(CCCC)c1cnc2ccccn12,Brc1cnc2n1cccc2.CCCCNCCCC.CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Cc1ccccc1>>CCCCN(CCCC)c1cnc2ccccn12,FALSE,24,0.93,10
