Aryl Halide SMILES,Amine SMILES,Product SMILES,Catalyst,Base,Solvent,Catalyst Name,Base Name,Solvent Name,Reaction SMILES,pred_probability,Aryl Halide ID,Aryl Halide Source,Aryl Halide Compound Set,Aryl Halide Informer Set,Aryl Halide Kmeans Cluster,Aryl Halide Kmeans Distance to Center,Aryl Halide Kmeans Centroid,Aryl Halide BitBirch Cluster,Aryl Halide Butina Cluster,Amine ID,Amine Source,Amine Compound Set,Amine Kmeans Cluster,Amine Kmeans Distance to Center,Amine Kmeans Centroid,Amine BitBirch Cluster,Amine Butina Cluster,ID,Trans SMILES,Yield
Brc1cn(C2CCOCC2)cn1,Nc1cncnc1N1CCCC1,c1ncc(Nc2cn(C3CCOCC3)cn2)c(N2CCCC2)n1,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CC(=O)N(C)C,ruphos-pd-g4,P2Et,DMA,Brc1cn(C2CCOCC2)cn1.Nc1cncnc1N1CCCC1.CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CC(=O)N(C)C.>>c1ncc(Nc2cn(C3CCOCC3)cn2)c(N2CCCC2)n1,0.83,72,Commercial,Commercial BB,FALSE,4,4.787024627,FALSE,54,165,95,Commercial,Commercial BB,6,4.758461288,FALSE,53,54,72-95,Brc1cn(C2CCOCC2)cn1.Nc1cncnc1N1CCCC1>>c1ncc(Nc2cn(C3CCOCC3)cn2)c(N2CCCC2)n1,0
Brc1ccc2nnsc2c1,Nc1ccc(-n2nccn2)cc1,c1cnn(-c2ccc(Nc3ccc4nnsc4c3)cc2)n1,C[NH+]1c2ccccc2-c2ccccc2[Pd-2]1(OS(C)(=O)=O)[P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CCC(C)(C)O,p(tbu)3-pd-g4,P2Et,t-AmOH,Brc1ccc2nnsc2c1.Nc1ccc(-n2nccn2)cc1.C[NH+]1c2ccccc2-c2ccccc2[Pd-2]1(OS(C)(=O)=O)[P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CCC(C)(C)O.>>c1cnn(-c2ccc(Nc3ccc4nnsc4c3)cc2)n1,0.8446875,37,Commercial,Commercial BB,FALSE,0,4.365458188,FALSE,78,90,33,Commercial,Commercial BB,6,4.326590771,FALSE,26,127,37-33,Brc1ccc2nnsc2c1.Nc1ccc(-n2nccn2)cc1>>c1cnn(-c2ccc(Nc3ccc4nnsc4c3)cc2)n1,50
Brc1cccc(Oc2ccccc2)n1,Nc1ncn(Cc2ccncc2)n1,c1ccc(Oc2cccc(Nc3ncn(Cc4ccncc4)n3)n2)cc1,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CC(=O)N(C)C,ruphos-pd-g4,P2Et,DMA,Brc1cccc(Oc2ccccc2)n1.Nc1ncn(Cc2ccncc2)n1.CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CC(=O)N(C)C.>>c1ccc(Oc2cccc(Nc3ncn(Cc4ccncc4)n3)n2)cc1,0.815,93,Commercial,Commercial BB,FALSE,4,4.647080046,FALSE,34,75,43,Commercial,Commercial BB,6,4.806959204,FALSE,66,119,93-43,Brc1cccc(Oc2ccccc2)n1.Nc1ncn(Cc2ccncc2)n1>>c1ccc(Oc2cccc(Nc3ncn(Cc4ccncc4)n3)n2)cc1,29
Brc1cnc2c(C3CC3)cnn2c1,Nc1ccccc1Cn1cccn1,c1ccc(Nc2cnc3c(C4CC4)cnn3c2)c(Cn2cccn2)c1,COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CCC(C)(C)O,brettphos-pd-g4,P2Et,t-AmOH,Brc1cnc2c(C3CC3)cnn2c1.Nc1ccccc1Cn1cccn1.COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CCC(C)(C)O.>>c1ccc(Nc2cnc3c(C4CC4)cnn3c2)c(Cn2cccn2)c1,0.83,10,Commercial,Commercial BB,FALSE,4,5.176346448,FALSE,130,216,82,Commercial,Commercial BB,2,4.83765749,FALSE,8,92,Oct-82,Brc1cnc2c(C3CC3)cnn2c1.Nc1ccccc1Cn1cccn1>>c1ccc(Nc2cnc3c(C4CC4)cnn3c2)c(Cn2cccn2)c1,0
Clc1ccc2c(n1)CCN(Cc1ccccc1)C2,Nc1ncn(Cc2ccncc2)n1,c1ccc(CN2CCc3nc(Nc4ncn(Cc5ccncc5)n4)ccc3C2)cc1,COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CS(C)=O,brettphos-pd-g4,P2Et,DMSO,Clc1ccc2c(n1)CCN(Cc1ccccc1)C2.Nc1ncn(Cc2ccncc2)n1.COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CS(C)=O.>>c1ccc(CN2CCc3nc(Nc4ncn(Cc5ccncc5)n4)ccc3C2)cc1,0.8235,102,Commercial,Commercial BB,FALSE,4,5.751232281,FALSE,38,274,43,Commercial,Commercial BB,6,4.806959204,FALSE,66,119,102-43,Clc1ccc2c(n1)CCN(Cc1ccccc1)C2.Nc1ncn(Cc2ccncc2)n1>>c1ccc(CN2CCc3nc(Nc4ncn(Cc5ccncc5)n4)ccc3C2)cc1,0
Brc1ccc2nnsc2c1,Nc1ccc2cc[nH]c2n1,c1cc2ccc(Nc3ccc4nnsc4c3)nc2[nH]1,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CS(C)=O,ruphos-pd-g4,P2Et,DMSO,Brc1ccc2nnsc2c1.Nc1ccc2cc[nH]c2n1.CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CS(C)=O.>>c1cc2ccc(Nc3ccc4nnsc4c3)nc2[nH]1,0.825,37,Commercial,Commercial BB,FALSE,0,4.365458188,FALSE,78,90,87,Commercial,Commercial BB,6,4.899488159,FALSE,6,267,37-87,Brc1ccc2nnsc2c1.Nc1ccc2cc[nH]c2n1>>c1cc2ccc(Nc3ccc4nnsc4c3)nc2[nH]1,25
Brc1csc(OC2CCOC2)n1,Nc1cccn2cncc12,c1cc(Nc2csc(OC3CCOC3)n2)c2cncn2c1,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CC(=O)N(C)C,xphos-pd-g4,P2Et,DMA,Brc1csc(OC2CCOC2)n1.Nc1cccn2cncc12.CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CC(=O)N(C)C.>>c1cc(Nc2csc(OC3CCOC3)n2)c2cncn2c1,0.823043478,110,Commercial,Commercial BB,FALSE,4,4.884928677,FALSE,39,75,140,Commercial,Commercial BB,6,4.606124675,FALSE,61,127,110-140,Brc1csc(OC2CCOC2)n1.Nc1cccn2cncc12>>c1cc(Nc2csc(OC3CCOC3)n2)c2cncn2c1,0
Brc1csc(OC2CCOC2)n1,Nc1cccn2cncc12,c1cc(Nc2csc(OC3CCOC3)n2)c2cncn2c1,C[NH+]1c2ccccc2-c2ccccc2[Pd-2]1(OS(C)(=O)=O)[P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CS(C)=O,p(tbu)3-pd-g4,P2Et,DMSO,Brc1csc(OC2CCOC2)n1.Nc1cccn2cncc12.C[NH+]1c2ccccc2-c2ccccc2[Pd-2]1(OS(C)(=O)=O)[P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CS(C)=O.>>c1cc(Nc2csc(OC3CCOC3)n2)c2cncn2c1,0.837626812,110,Commercial,Commercial BB,FALSE,4,4.884928677,FALSE,39,75,140,Commercial,Commercial BB,6,4.606124675,FALSE,61,127,110-140,Brc1csc(OC2CCOC2)n1.Nc1cccn2cncc12>>c1cc(Nc2csc(OC3CCOC3)n2)c2cncn2c1,0
Brc1cn(C2CCOCC2)cn1,Nc1ccnc2[nH]ccc12,c1cc(Nc2cn(C3CCOCC3)cn2)c2cc[nH]c2n1,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CS(C)=O,xphos-pd-g4,P2Et,DMSO,Brc1cn(C2CCOCC2)cn1.Nc1ccnc2[nH]ccc12.CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CS(C)=O.>>c1cc(Nc2cn(C3CCOCC3)cn2)c2cc[nH]c2n1,0.805,72,Commercial,Commercial BB,FALSE,4,4.787024627,FALSE,54,165,30,Commercial,Commercial BB,6,4.819047135,FALSE,53,267,72-30,Brc1cn(C2CCOCC2)cn1.Nc1ccnc2[nH]ccc12>>c1cc(Nc2cn(C3CCOCC3)cn2)c2cc[nH]c2n1,0
Clc1cc(OC2CCOCC2)ncn1,Nc1ncn(Cc2ccncc2)n1,c1cc(Cn2cnc(Nc3cc(OC4CCOCC4)ncn3)n2)ccn1,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CC(=O)N(C)C,ruphos-pd-g4,P2Et,DMA,Clc1cc(OC2CCOCC2)ncn1.Nc1ncn(Cc2ccncc2)n1.CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.CC(=O)N(C)C.>>c1cc(Cn2cnc(Nc3cc(OC4CCOCC4)ncn3)n2)ccn1,0.82,108,Commercial,Commercial BB,FALSE,4,5.26706232,FALSE,54,165,43,Commercial,Commercial BB,6,4.806959204,FALSE,66,119,108-43,Clc1cc(OC2CCOCC2)ncn1.Nc1ncn(Cc2ccncc2)n1>>c1cc(Cn2cnc(Nc3cc(OC4CCOCC4)ncn3)n2)ccn1,0
