Role,Name,SMILES,QM,Count
Catalyst,cphos-pd-g4,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O,"[np.float64(0.046149809308538035), np.float64(-0.37709692131526823), np.float64(217.81949999999932), np.float64(61.88), np.float64(9.252500000000003), np.float64(11.0), np.float64(5.450980392156863)]",4204
Catalyst,ruphos-pd-g4,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[P+](C1CCCCC1)(C1CCCCC1)[Pd-2]1(OS(C)(=O)=O)c2ccccc2-c2ccccc2[NH+]1C,"[np.float64(0.0), np.float64(0.0), np.float64(217.6934999999993), np.float64(66.27000000000001), np.float64(9.263700000000005), np.float64(11.0), np.float64(5.471698113207547)]",1401
Catalyst,p(tbu)3-pd-g4,C[NH+]1c2ccccc2-c2ccccc2[Pd-2]1(OS(C)(=O)=O)[P+](C(C)(C)C)(C(C)(C)C)C(C)(C)C,"[np.float64(0.0), np.float64(0.0), np.float64(140.16649999999993), np.float64(47.81), np.float64(5.426900000000006), np.float64(3.0), np.float64(5.757575757575758)]",1332
Catalyst,xphos-pd-g4,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c(C(C)C)c1,"[np.float64(0.0), np.float64(0.0), np.float64(228.43249999999918), np.float64(47.81), np.float64(11.059499999999993), np.float64(10.0), np.float64(5.481481481481482)]",1307
Catalyst,brettphos-pd-g4,COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,"[np.float64(0.0), np.float64(0.0), np.float64(241.53649999999902), np.float64(66.27000000000001), np.float64(11.07669999999999), np.float64(12.0), np.float64(5.517241379310345)]",1163
Catalyst,p(o-tol)3-pd-g2,Cc1ccccc1P(c1ccccc1C)c1ccccc1C.Nc1ccccc1-c1ccccc1[Pd]Cl,"[np.float64(-0.012174228098806732), np.float64(-0.06195851164927764), np.float64(161.1363999999996), np.float64(26.02), np.float64(7.167460000000006), np.float64(5.0), np.float64(5.135135135135135)]",648
Catalyst,gphos-pd-g4,COc1ccc(OC(C)(C)C)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cccc1C(C)C,"[np.float64(0.0), np.float64(0.0), np.float64(241.27649999999903), np.float64(66.27000000000001), np.float64(11.121999999999993), np.float64(11.0), np.float64(5.517241379310345)]",534
Catalyst,xantphos-pd-g4,C[NH+]1c2ccccc2-c2ccccc2[Pd-2]1(OS(C)(=O)=O)[P+](c1ccccc1)(c1ccccc1)c1cccc2c1Oc1c(P(c3ccccc3)c3ccccc3)cccc1C2(C)C,"[np.float64(0.0), np.float64(0.0), np.float64(256.48549999999926), np.float64(57.040000000000006), np.float64(8.197700000000008), np.float64(9.0), np.float64(5.064516129032258)]",498
Catalyst,jackiephos-pd-g3,COc1ccc(OC)c([P+](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[Pd-2]2(OS(C)(=O)=O)[NH2+]c3ccccc3-c3ccccc32)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,"[np.float64(0.0), np.float64(0.0), np.float64(254.9891999999992), np.float64(78.44), np.float64(13.18619999999998), np.float64(12.0), np.float64(5.4520547945205475)]",463
Catalyst,adbrettphos-pd-g3,COc1ccc(OC)c([P+]([C@]23CC4C[C@H](C[C@H](C4)C2)C3)([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[Pd-2]2(OS(C)(=O)=O)[NH2+]c3ccccc3-c3ccccc32)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,"[np.float64(0.0), np.float64(0.0), np.float64(264.6351999999992), np.float64(78.44), np.float64(12.397599999999985), np.float64(12.0), np.float64(5.446153846153846)]",426
