,Model,train_data,test_data,Balanced Accuracy,Balanced Accuracy Avg,Balanced Accuracy Std,ROC AUC,ROC AUC Avg,ROC AUC Std,F1 Score,F1 Score Avg,F1 Score Std,F0 Score,F0 Score Avg,F0 Score Std,AU-PR-C,AU-PR-C Avg,AU-PR-C Std,Precision 1,Precision 1 Avg,Precision 1 Std,Recall 1,Recall 1 Avg,Recall 1 Std
0,rf_model,Dreher 2014,Outter Clusters,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.5,0.0,"[0.5191221376834587, 0.4985584035194737, 0.4978865933377438, 0.5084969524851781, 0.4851009570289913, 0.5007165011707684, 0.5097775496719616, 0.5162153370345612, 0.5013537411888447, 0.5272455256655838]",0.5064473698786565,0.011635708091230679,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.7453513926332025, 0.7492753680862938, 0.7497177948883753, 0.7487264027610807, 0.7333508426218386, 0.7515290036559868, 0.7215240817773533, 0.7387105598680928, 0.7440361370956597, 0.7216663611790708]",0.7403887944566954,0.01075317642294942,"[0.4573172286161583, 0.38748885015190676, 0.3831112958274413, 0.3987723128660614, 0.3827750669773929, 0.40240586791184174, 0.44668525757138755, 0.4165726694530474, 0.39557046778497623, 0.4757367850881393]",0.41464358022483533,0.03177502042415363,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
1,gradient_boosting_model,Dreher 2014,Outter Clusters,"[0.5000534948514237, 0.5000090863959926, 0.5001467047947563, 0.5000420716299985, 0.5000092290024303, 0.5, 0.5000860355005816, 0.5000088076074917, 0.5000424592379762, 0.5000502762924111]",0.5000448165313062,4.248142424289233e-05,"[0.5324378319697564, 0.516848436150271, 0.5044179745167853, 0.4847518738487063, 0.4918010707522741, 0.5238054201550331, 0.5117486533720768, 0.4622942566450646, 0.5096510957873712, 0.5212152361837794]",0.5058971849381118,0.019943026338609192,"[0.00039436375626284256, 0.0001363884342607747, 0.0006871907641561298, 0.00026691578806886424, 0.0001405678942929435, 0.0, 0.0005606589891045126, 0.00013827433628318584, 0.0002702702702702703, 0.00041496879859839763]",0.0003009599031297921,0.0002025571224230781,"[0.7453465553775522, 0.749265542348607, 0.7497619165928735, 0.7487298298153944, 0.7333406375328397, 0.7515290036559868, 0.7215304700745269, 0.7387003654286899, 0.7440395603750019, 0.7216584514921809]",0.7403902332693654,0.01075744450457205,"[0.4244526470883676, 0.4084548820895493, 0.40283638163679447, 0.3890916529308696, 0.4109192335582544, 0.4122925372565428, 0.4372108554794568, 0.3897285545381336, 0.41030457672903115, 0.4442082116666304]",0.41294995329736295,0.017147821857968308,"[0.5833333333333333, 0.25, 0.4166666666666667, 0.3333333333333333, 0.25, 0.0, 0.6666666666666666, 0.25, 0.3333333333333333, 0.5833333333333333]",0.3666666666666667,0.19075871903765992,"[0.00019725073235470948, 6.821282401091406e-05, 0.000343878954607978, 0.0001335113484646195, 7.030371203599551e-05, 0.0, 0.0002804474961100486, 6.915629322268326e-05, 0.000135189941868325, 0.00020756081791415906]",0.00015055121205894323,0.00010134890144903123
2,lr_model,Dreher 2014,Outter Clusters,"[0.49995486948524626, 0.4999749799839872, 0.49997476531745233, 0.49997531595576616, 0.4999740771464123, 0.5, 0.4999458117525266, 0.4999742294608803, 0.499974864267042, 0.499946495883454]",0.4999695409252767,1.5486381836446014e-05,"[0.5087319838469226, 0.5053661641279762, 0.5054333918159136, 0.504271812825255, 0.4934347757079399, 0.4993803015997703, 0.49698171049252304, 0.49238541359315474, 0.4969913842486223, 0.5083011033213802]",0.5011278041579459,0.005732645528078438,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.7453091888136182, 0.7492521490962946, 0.7496943775387119, 0.7487035166767151, 0.7333268001592568, 0.7515290036559868, 0.7214741098384374, 0.7386866877280811, 0.7440128473419234, 0.7216170144304861]",0.7403605695279512,0.010764022586251991,"[0.42548459567529373, 0.4131798374247228, 0.4128356345617322, 0.41247237284820126, 0.42138838379165877, 0.4101685493490366, 0.4392721012917856, 0.41119878374396923, 0.40865514197935093, 0.45234243573646105]",0.42069978364022126,0.01379090649170795,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
3,mlp_model,Dreher 2014,Outter Clusters,"[0.5007013216716478, 0.5007683677772188, 0.5007799452641952, 0.5007730879428929, 0.5005700988605537, 0.5007226551272119, 0.5004628083022842, 0.5005566007384495, 0.500538751742228, 0.500450633144436]",0.5006324270571118,0.00012375120448745753,"[0.4683724836545976, 0.4485145809749756, 0.4476717950931247, 0.44598034252743457, 0.42924293226038396, 0.4502649084335604, 0.4434267645784739, 0.4397687008004477, 0.44488310234394257, 0.44896085929688023]",0.4467086469963821,0.009268646953711513,"[0.010393246447857222, 0.009679700874816585, 0.009765973687801096, 0.009698529784612999, 0.008491199414680366, 0.007485571862674316, 0.01117029592818083, 0.008340468197810143, 0.008991169545248007, 0.010972362345927788]",0.009498851808960936,0.0011214760654753467,"[0.7445415632326289, 0.7486074850257558, 0.749046358315328, 0.748060117009137, 0.7327268857964464, 0.7511371654103063, 0.7204839097504719, 0.738095821601715, 0.7432717592109708, 0.7206415924912393]",0.7396612657844,0.010896145825709054,"[0.3931518962165174, 0.37659382785118345, 0.3758694934583392, 0.37618101031080664, 0.38385434763518933, 0.37083037211384273, 0.40624805777124784, 0.3812510153501834, 0.3798407745345255, 0.40980544130121]",0.38536262365430457,0.012674762940972863,"[0.47413793103448276, 0.4838781907747425, 0.4838781907747425, 0.4838781907747425, 0.5, 0.5097402597402597, 0.47413793103448276, 0.5, 0.468040370058873, 0.47413793103448276]",0.4851828995226809,0.013065618897894178,"[0.005258880141470133, 0.004890740406827406, 0.004934803666541724, 0.004900705292344215, 0.00430341413931337, 0.0037850869735963607, 0.005658468398251793, 0.00422616250243991, 0.004540658779495573, 0.005556230128213777]",0.004805515042849427,0.0005682305466253483
4,knn_model,Dreher 2014,Outter Clusters,"[0.5051080318670674, 0.5019977061584645, 0.5020517050324503, 0.5018894028836689, 0.5004107850794863, 0.49867127309977644, 0.5028147542912713, 0.5007574840432827, 0.5015748301271767, 0.5028559225062275]",0.5018131895088872,0.0016140898655328875,"[0.47472819912582154, 0.47142915778532013, 0.4714625522888596, 0.4714535237005758, 0.45212448604265487, 0.44810667346568794, 0.46432046836977625, 0.45090116701057986, 0.4674565940286887, 0.4823131944658321]",0.4654296016283797,0.010833848141373757,"[0.09651035182682602, 0.07887498798198796, 0.07949485874014176, 0.07834615007236244, 0.08221309170328854, 0.059691184475350906, 0.10134957366148842, 0.08000211449311051, 0.07599246358832351, 0.09934772768633614]",0.08318225042292163,0.011996355933512823,"[0.7348278703769591, 0.7387447838698367, 0.7391181281247379, 0.7382099475562878, 0.7211080695803099, 0.7409087480715854, 0.7088736828562906, 0.727058530768466, 0.7337490774138243, 0.7093945324610312]",0.7291993371079328,0.0115567905075094,"[0.4058930709769346, 0.39223982881642766, 0.39190867864339984, 0.39260200261083056, 0.3998233675708406, 0.3722277004506932, 0.42521813099927996, 0.3939906617362487, 0.39495271181670644, 0.432940446971372]",0.40017966005927336,0.0166396270242153,"[0.457442566211878, 0.42095564861359536, 0.42095564861359536, 0.42095564861359536, 0.4189824861497613, 0.3793103448275862, 0.46143394432849083, 0.4174315564739473, 0.42154982015523446, 0.46217007631969476]",0.4281187740307379,0.024302900930337205,"[0.053946396736351, 0.04366037498341459, 0.044039575728248626, 0.0433113540003013, 0.04571077967755298, 0.032394677516542694, 0.056927304676336235, 0.04437345939932755, 0.04197579968349826, 0.05565777925837828]",0.04619975016599515,0.0070427203844702965
5,gaussianNB_model,Dreher 2014,Outter Clusters,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.7453513926332025, 0.7492753680862938, 0.7497177948883753, 0.7487264027610807, 0.7333508426218386, 0.7515290036559868, 0.7215240817773533, 0.7387105598680928, 0.7440361370956597, 0.7216663611790708]",0.7403887944566954,0.01075317642294942,"[0.7029613570924145, 0.7003044956761852, 0.7000121342588126, 0.700636210460778, 0.7105116954238977, 0.6990202377378831, 0.7177939158462641, 0.707108833413866, 0.7036836799624246, 0.7177007772366244]",0.705973333710915,0.006767287118838432,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
6,rf_model,Dreher 2016,Outter Clusters,"[0.5056493299471969, 0.5069712137504523, 0.5072955624948831, 0.5051117042236477, 0.5051170795322241, 0.5059844954112618, 0.5068757380876031, 0.5053066035048237, 0.5033621473786279, 0.504821648406361]",0.5056495522737082,0.00112605172542847,"[0.6302437771190994, 0.5794026251429805, 0.5602669472982152, 0.6366954011709782, 0.5939894893527726, 0.5633050785104194, 0.5370670271204052, 0.581105525734934, 0.5761425358597623, 0.5890989080931469]",0.5847317315402714,0.028846527982578935,"[0.024190616118667588, 0.03240295361670234, 0.03313380830160563, 0.022298490946739132, 0.02180109370914496, 0.02578600911660399, 0.03149947450802975, 0.023026067902571574, 0.014671378485355241, 0.021060896097320175]",0.024987078880274037,0.005550689093805468,"[0.7072080182039353, 0.7034846946140344, 0.7040568404867809, 0.7021652266156031, 0.684789833775155, 0.6958103932386389, 0.6758514126408366, 0.6955345006806346, 0.7031509618087703, 0.6812717799370396]",0.6953323662001429,0.010392537876675824,"[0.5927144112706512, 0.5681504891914372, 0.572612197366038, 0.593178836863318, 0.5981925880471792, 0.5426889601070328, 0.5658346830080255, 0.5874920233442524, 0.5337345770209623, 0.575313574795836]",0.5729912341014732,0.020448528202862706,"[0.9147286821705426, 0.8461538461538461, 0.8626373626373627, 0.9008264462809917, 0.9279279279279279, 0.9124087591240876, 0.8719512195121951, 0.9076923076923077, 0.9036144578313253, 0.911504424778761]",0.8959445434109348,0.02504754080929278,"[0.01225779650215937, 0.01651811480101048, 0.016891612625977367, 0.011288980883160018, 0.011030287114805835, 0.013077946953708855, 0.016039484575654416, 0.011660995018455932, 0.007395729044875251, 0.010656042376879896]",0.012681698989668744,0.0028601802982285273
7,gradient_boosting_model,Dreher 2016,Outter Clusters,"[0.49410173388441625, 0.48767056134400144, 0.4899748017685347, 0.4969030734607123, 0.49065296174791956, 0.4965100691951054, 0.49045282790817984, 0.4939643836803784, 0.49760593456507496, 0.49024920229525454]",0.4928085549849578,0.0032812321751336643,"[0.5708782605629052, 0.5685785462282583, 0.5638990061806838, 0.5727446338555435, 0.554632174832749, 0.5706550070191927, 0.5671280213334144, 0.5564150745011248, 0.570579799257876, 0.5673938674821861]",0.5662904391253936,0.0058861212603827755,"[0.12388144499920561, 0.09289356451878564, 0.11039978468941603, 0.13881784542436032, 0.11464061101031386, 0.13576163968276939, 0.12241787748376831, 0.14423415398501047, 0.15032515775250066, 0.11789383883120184]",0.1251265918377332,0.016515520748095088,"[0.6803399577909051, 0.6756699397405391, 0.6753782686219474, 0.6760375409737551, 0.6575504399733192, 0.6698425900174108, 0.647219510159883, 0.6656080706115513, 0.6759691207383777, 0.6528142665187888]",0.6676429705146477,0.010831069475154954,"[0.49066430238558145, 0.4874215321789841, 0.4872745236313829, 0.4984843166280891, 0.5045655695444703, 0.5077022579865231, 0.5237957497742806, 0.49602209905191463, 0.49589833240742615, 0.5136576676666734]",0.5005486351255326,0.011279114824830907,"[0.418677688715391, 0.3691723025325878, 0.3928413704587661, 0.4377997520100444, 0.41811151010553355, 0.44671441499676795, 0.4333647617218044, 0.435836611780087, 0.44619525800687754, 0.4171267277402765]",0.4215840398068136,0.023357274183503866,"[0.0727247188154041, 0.05326542620730818, 0.06422700073133601, 0.08259356275343158, 0.066585927935259, 0.0800999155967583, 0.07130197503386437, 0.08642135461726501, 0.09043495434061691, 0.06937276739764621]",0.07370276034288896,0.010701831823002002
8,lr_model,Dreher 2016,Outter Clusters,"[0.4981978745680913, 0.49745991150160096, 0.4976956840437554, 0.49751278068122573, 0.4951022547794765, 0.4966394430215981, 0.49676231666169673, 0.4974723632255299, 0.49677013726030395, 0.4973181647320904]",0.4970930930475369,0.0008044752046920186,"[0.49451543453707764, 0.49041450906011025, 0.4917989530343577, 0.49080154506451235, 0.4841146290227334, 0.4899044130965218, 0.4863210986489362, 0.49656751393067944, 0.49168595563457507, 0.49418564608801885]",0.49103096981175226,0.0035424009958638244,"[0.17115293593978337, 0.1715608880839507, 0.17190598642683935, 0.17329360370422076, 0.17652524899369765, 0.17533235565408253, 0.17500700605656855, 0.17441278790223208, 0.17199261168522975, 0.17410992105836967]",0.17352933455049743,0.001734989026604748,"[0.6750447440533831, 0.6706660230521183, 0.6711729114091246, 0.6695362974739472, 0.650462129994289, 0.6620574077110486, 0.6439795294916653, 0.6631495374742091, 0.6704854226909053, 0.6501725323714451]",0.6626726535722136,0.010260383425679885,"[0.45101560519656525, 0.4526993293293228, 0.45311386668419096, 0.4541483513405636, 0.4690501130726668, 0.46087043208435874, 0.4816767773437818, 0.4642188951164962, 0.4519863787337758, 0.4776478155395052]",0.4616427564441228,0.010652233327934049,"[0.44717465039526383, 0.44846023957461684, 0.4491081801858893, 0.44995265831477926, 0.46031381957226625, 0.4542842188269405, 0.4778286462556899, 0.45788637154425815, 0.4449659274078095, 0.47207721118418644]",0.45620519232616996,0.010489089009748941,"[0.10583093452757775, 0.10607376577327554, 0.10630089226694273, 0.10731350701631497, 0.10920595860221746, 0.10862941004969082, 0.10715211648042151, 0.10772677760560317, 0.10659807062949195, 0.10686947287638918]",0.10717009058279252,0.001037955406313096
9,mlp_model,Dreher 2016,Outter Clusters,"[0.5199210445998602, 0.5182366581330753, 0.5192412347833248, 0.5173090821925824, 0.516159627573481, 0.5170710131553113, 0.517502282945429, 0.5183789807042785, 0.5168292313470069, 0.5194791929773424]",0.5180128348411691,0.0011816450511316478,"[0.526363375477529, 0.5187672024639713, 0.5208380210521466, 0.5187252323546383, 0.5073000878761436, 0.5177821123898756, 0.5183806775036921, 0.5229422106626694, 0.5183052537562165, 0.5204330909623038]",0.5189837264499186,0.004632028332472167,"[0.232569025456286, 0.2353350079090446, 0.2375944975612964, 0.23021433767374222, 0.23777599683056266, 0.23157808879765954, 0.24077108477103537, 0.2298588409332306, 0.2261457044477936, 0.23718586624933374]",0.23390284506299847,0.004312162927349483,"[0.6829936778759277, 0.6774618692426455, 0.6783366124231809, 0.6771136163500315, 0.6576501192063684, 0.6701854752796391, 0.649710133549861, 0.6720774574009107, 0.6789443178160102, 0.6604752377330225]",0.6704948516877598,0.010399227873396533,"[0.49733095986685477, 0.49758646070079277, 0.4989233299553545, 0.49746887497648534, 0.5097006872791103, 0.5031617408100572, 0.5279516459218917, 0.5067931140339875, 0.49496459564591083, 0.5216321975551251]",0.505551360674557,0.010663896196008547,"[0.5481307310575603, 0.5463469047210754, 0.5494596966445449, 0.545053729607825, 0.5470497359938804, 0.5454529513021515, 0.5652629306373316, 0.553488870144059, 0.5431567500527461, 0.5715942811410777]",0.5514996581302252,0.008981976780519941,"[0.15374174141592425, 0.15605098125130606, 0.15750378620194216, 0.15104206785903854, 0.15770574334525672, 0.1518666462469039, 0.15921587285908975, 0.14998270688361506, 0.14772362362572608, 0.15476021075122465]",0.1539593380440027,0.0035620372592378036
