,Model,train_data,test_data,Balanced Accuracy,Balanced Accuracy Avg,Balanced Accuracy Std,ROC AUC,ROC AUC Avg,ROC AUC Std,F1 Score,F1 Score Avg,F1 Score Std,F0 Score,F0 Score Avg,F0 Score Std,AU-PR-C,AU-PR-C Avg,AU-PR-C Std,Precision 1,Precision 1 Avg,Precision 1 Std,Recall 1,Recall 1 Avg,Recall 1 Std
0,rf_model,Dreher 2014,Outter Clusters,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.5,0.0,"[0.5096422078157817, 0.4391450686996389, 0.46522986885197215, 0.4858316222669951, 0.49349485817720523, 0.4576496716812407, 0.5020430577510054, 0.47349320762728114, 0.4795347826433182, 0.48491701448618096, 0.49791281366338025, 0.46497868179996127]",0.47948940462199685,0.019531187589964784,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.7476727739219104, 0.7669112838770616, 0.7678597516435355, 0.7674016269739021, 0.7306060606060606, 0.7514754098360655, 0.7143326488706365, 0.728522078702313, 0.759133874103372, 0.7136412631242764, 0.7530408737261205, 0.729319955406912]",0.7441598000660138,0.01927424652753274,"[0.4797652485053867, 0.46557319209576786, 0.4646292527817938, 0.45575475594941034, 0.4857130962183771, 0.39119271977073083, 0.6966725107129441, 0.42611468402127417, 0.4758885866302294, 0.5266180526396568, 0.461982155450963, 0.4839287758951779]",0.48448608588930936,0.07135064893733768,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
1,gradient_boosting_model,Dreher 2014,Outter Clusters,"[0.49922278861147534, 0.4987897233467728, 0.49856940744636113, 0.49862088164469326, 0.4991845819148176, 0.4979632609926922, 0.4990947302391821, 0.49851052699790116, 0.49877311332732915, 0.5004861783564252, 0.4988684703988045, 0.4986214198930209]",0.4988920902641229,0.0005817745891518927,"[0.5438922727525859, 0.536028326861671, 0.5279019503497695, 0.5375333752061812, 0.5139761723778202, 0.5210232343513287, 0.5034707558798772, 0.5135961728717705, 0.5236271568612897, 0.5259078004314743, 0.5203088822268509, 0.5048285699304059]",0.522674555841752,0.012047314809959329,"[0.0023343275839709508, 0.0030921459492888066, 0.0018744142455482662, 0.0015720798616569722, 0.003353828954723309, 0.004238669709814151, 0.0037137551778317385, 0.0032935364347468094, 0.0044107512060647825, 0.004167824395665463, 0.0020582181711261394, 0.005436259853220984]",0.0032954842953048648,0.0011232851289126574,"[0.7466157241197589, 0.7653053796316518, 0.7662252140191702, 0.7658617511520738, 0.7293974806495674, 0.7489519112207151, 0.7130220119317013, 0.726698024459078, 0.7573324374265077, 0.7135549872122762, 0.7516827626573017, 0.7273066030705023]",0.7426628572958588,0.019040085436573612,"[0.4365971359243917, 0.4022413843371434, 0.3960172959989814, 0.4022354411874869, 0.43884269128509423, 0.41027077786742694, 0.4517636870558488, 0.4393235767050498, 0.40486609692302405, 0.47400966938794226, 0.409738178720754, 0.43103278449039806]",0.42474489332362847,0.023123867125171723,"[0.225, 0.19230769230769232, 0.13043478260869565, 0.11904761904761904, 0.2727272727272727, 0.18571428571428572, 0.28888888888888886, 0.21052631578947367, 0.2318840579710145, 0.6, 0.17073170731707318, 0.2702702702702703]",0.24146107438685716,0.11964010040345041,"[0.0011732499022291747, 0.0015586034912718205, 0.0009439899307740718, 0.0007912644405760405, 0.001687289088863892, 0.0021437994722955144, 0.0018688901667625072, 0.0016597510373443983, 0.002226551628165878, 0.002091175240485153, 0.0010353498003253957, 0.0027457440966501922]",0.0016604715246453362,0.0005678129732684045
2,lr_model,Dreher 2014,Outter Clusters,"[0.4248953225599892, 0.3958405147718104, 0.3941878465726604, 0.3929520473102049, 0.4183354880308149, 0.39416612560840275, 0.4198766298756758, 0.4233266579438917, 0.4170526814227161, 0.42044523331055145, 0.41282343489220086, 0.42411910384822205]",0.41150175717892834,0.01257464018162475,"[0.4606314294820145, 0.4287852062761146, 0.42836386064342663, 0.4257993137192866, 0.43951616524655696, 0.4122182611768823, 0.44038888175898006, 0.44196866673139595, 0.4477083073832779, 0.46908373582256646, 0.43502757431701156, 0.44315378662817867]",0.43938709909880763,0.014719652412507563,"[0.47318834199172316, 0.42083590693843936, 0.4182355686945698, 0.4175376254180602, 0.481307945369355, 0.4300160882555734, 0.493853440476824, 0.48554741635319737, 0.45, 0.5036138488754107, 0.44908906882591093, 0.4858668495566551]",0.45909100839630995,0.03053312939934153,"[0.2208620914181534, 0.2247485186716274, 0.2240055344171567, 0.22327526132404182, 0.22631970260223047, 0.24042879019908117, 0.24003196164602478, 0.23898081710352906, 0.2329883570504528, 0.21034011417544424, 0.2428710529976353, 0.2384442348160511]",0.230274703035119,0.009692521583868787,"[0.38094266646218156, 0.34152492010653696, 0.3413355089081569, 0.33964124916182403, 0.3873507155246321, 0.3491054582685841, 0.40818243244476393, 0.39007278981986526, 0.36018194876195875, 0.43654956286897467, 0.35920933360260393, 0.38911479965024875]",0.37360094879836087,0.029045615957686507,"[0.3572425712956192, 0.31417153396864433, 0.31195357833655707, 0.3116954045408442, 0.37281853281853283, 0.32998236331569664, 0.39205745669624, 0.3780638199475875, 0.3374843467371643, 0.39502061528702825, 0.34133394876528966, 0.37771345875542695]",0.35162813587205255,0.029893601077587494,"[0.7005605527310651, 0.6371571072319202, 0.6343612334801763, 0.6322202880202563, 0.6788526434195725, 0.6170844327176781, 0.6670500287521565, 0.6784232365145229, 0.6750626217645421, 0.6945490032064687, 0.6562638662919686, 0.6808072487644151]",0.6626993552412285,0.025758946392362075
3,mlp_model,Dreher 2014,Outter Clusters,"[0.4851715710944305, 0.46956063624690053, 0.4689056853002903, 0.4675877316725727, 0.47971360291390375, 0.46847515391380823, 0.47427987865446125, 0.4820157138268245, 0.4837838041767112, 0.47743577150297306, 0.4876136401008386, 0.4841206005347779]",0.4773886491615411,0.007050828235332393,"[0.477880588888061, 0.4613338603987426, 0.46045751273021424, 0.4589504700037905, 0.47294770896794264, 0.46236276042745905, 0.46776404559535933, 0.475908352691535, 0.47684618075316787, 0.46827439781655544, 0.4825408909793707, 0.4779650608610562]",0.47026931917610454,0.007783395865406258,"[0.4658833447494599, 0.42346048366990774, 0.420767437464558, 0.4199175388518871, 0.47255539143279174, 0.43317086565524815, 0.4826564621651648, 0.47408277076606986, 0.4504113853680231, 0.49472078836227124, 0.45244498777506115, 0.4755976964690827]",0.4554724293941272,0.02492736438250949,"[0.4690724349237941, 0.4831824784892167, 0.4854184158970053, 0.483945601264037, 0.4618074395611021, 0.48059382273384915, 0.4450476694915254, 0.4675818624829144, 0.4805590584279109, 0.43231843943587717, 0.4961187985150185, 0.4697994471563842]",0.47128712236488624,0.01734071351845929,"[0.560699152495186, 0.5219903723515904, 0.5193954981840525, 0.518765228390979, 0.5698877815132555, 0.5341698451710057, 0.5824693575690782, 0.5717004137798354, 0.5459111446085652, 0.5908290043396112, 0.5487727735810769, 0.5724775422828552]",0.5530890095222576,0.024253025509159327,"[0.39096215068977713, 0.3528250934773577, 0.3509196006305833, 0.3504128731738302, 0.4075206358911648, 0.37104551334823005, 0.4228855721393035, 0.41183069862315147, 0.3750231438622477, 0.4270379746835443, 0.38556099593707677, 0.41263752901988493]",0.3882218151230126,0.027067723869727993,"[0.5763264241950202, 0.5294576059850374, 0.525330396475771, 0.5238170596613388, 0.5622890888638921, 0.5202836411609498, 0.5621046578493387, 0.5585062240663901, 0.5637350403562482, 0.5878990659417259, 0.54740423014347, 0.5612300933552993]",0.5515319606712068,0.021197187808052225
4,knn_model,Dreher 2014,Outter Clusters,"[0.5131275291157473, 0.5119709608026357, 0.5128340543768852, 0.5122584882391871, 0.5061717094830173, 0.5090008495765931, 0.5021669908846704, 0.5047743434643275, 0.5134977073341026, 0.5083856875830047, 0.510564381866209, 0.5038639150130505]",0.5090513848116192,0.0037983325705595434,"[0.5351538521934531, 0.5403634521583299, 0.5413403965547959, 0.5404607348229347, 0.515818553904839, 0.5269705672938337, 0.5052764851925238, 0.5141351157564141, 0.5375303670949331, 0.5242628657969611, 0.5314735018119914, 0.5130607866835244]",0.5271538899387113,0.011995685667293978,"[0.16503074102038615, 0.16132737715379705, 0.16422513492675406, 0.1633497027655725, 0.15499707773232027, 0.1694689084601014, 0.15903156895323997, 0.14591078066914498, 0.16268382352941177, 0.16722562738522032, 0.16503327283726557, 0.1417832774372615]",0.16000560773920627,0.008097690085478164,"[0.7312246102565884, 0.7483050522848278, 0.7494027895507436, 0.748562995184092, 0.7103417878751452, 0.7290378754897693, 0.6902972027972027, 0.7088778015363902, 0.7426190139850262, 0.6945493107104984, 0.7332740694932941, 0.7095157944181312]",0.7246673586318092,0.020356256880151913,"[0.4410596048841766, 0.42089587363252734, 0.42126566771968227, 0.4205575840617511, 0.4385404191286348, 0.4286211977964648, 0.45153089140020647, 0.44346814672868473, 0.4285054974278786, 0.466066274645573, 0.4277640759060418, 0.44122103452879047]",0.4357913556550343,0.01329755912679107,"[0.478125, 0.44538407329105, 0.4481065918653576, 0.44538407329105, 0.4594594594594595, 0.44405594405594406, 0.4557823129251701, 0.45573294629898403, 0.466403162055336, 0.49050203527815467, 0.45345744680851063, 0.44974321349963314]",0.4576780215690541,0.013669928830406656,"[0.09972624168947986, 0.09850374064837905, 0.10053492762743864, 0.10001582528881152, 0.09322272215973003, 0.10471635883905013, 0.09631972397929844, 0.08686030428769018, 0.0985249095463401, 0.10079464659138436, 0.10087265197455998, 0.08415705656232839]",0.09702075909954089,0.0058096824458816285
5,gaussianNB_model,Dreher 2014,Outter Clusters,"[0.4843934994258777, 0.48710791265559455, 0.48593560968530797, 0.48684425705370044, 0.4591365724400584, 0.4638938581828731, 0.4513262804098602, 0.4629474824214982, 0.48232164655891696, 0.4804524247572314, 0.4718711963206082, 0.46375170801063914]",0.4733318706601805,0.012116357150507963,"[0.49597389520401347, 0.5054986290786534, 0.5053125924952082, 0.5051967263756554, 0.464978414340161, 0.47430817750567533, 0.4523799228025924, 0.4697838325831718, 0.4980266365297018, 0.49302969662252194, 0.48217637484311776, 0.4707397218709248]",0.48478371835428313,0.01736098555549466,"[0.45343070467055424, 0.4298341828505065, 0.4274093837443873, 0.42937483651582525, 0.4564975718214265, 0.43587673260664783, 0.4700839219948077, 0.45792974676158243, 0.43570312951929197, 0.4764847660836784, 0.43588015440230377, 0.4555296856810245]",0.4470029013876697,0.016047047385771493,"[0.49150737717385795, 0.5208480182182942, 0.5209864445533235, 0.5203913378036715, 0.43432190487790023, 0.4626329957697731, 0.40466662144746657, 0.4445108825639799, 0.505650433284346, 0.47191571597780685, 0.4832463377673009, 0.45021746796755613]",0.47590796145043973,0.03634891867260956,"[0.5369173676229564, 0.5228814530004933, 0.5223127286792576, 0.5236439986779001, 0.5472873291166933, 0.5331234933848443, 0.5597504408997412, 0.5472278634238159, 0.5241474547606937, 0.5658161370015294, 0.5289568389942401, 0.5453219472633798]",0.5381155877354622,0.014291773819770221,"[0.3895860648061435, 0.3667290542772212, 0.3644434579957829, 0.365875403989747, 0.3909209339613188, 0.368151852693794, 0.4052253565108775, 0.39604360113039966, 0.3728343728343728, 0.4279529307282416, 0.372071129707113, 0.3954122877930477]",0.3846038705356716,0.018840934783661833,"[0.5423021770303741, 0.5191708229426434, 0.5166771554436753, 0.5195442316822282, 0.5485095613048369, 0.5341358839050132, 0.5596607245543416, 0.5427385892116182, 0.5240745894795436, 0.5374320368046842, 0.5261056056796332, 0.5372048325096102]",0.5339630175456834,0.012669290390167566
6,rf_model,Dreher 2016,Outter Clusters,"[0.5, 0.5, 0.5679759338762996, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.5056646611563583,0.01878755562014123,"[0.5262450010424916, 0.6097680889936072, 0.5528223328667758, 0.5441151965027471, 0.5584313174601178, 0.6137173655954984, 0.590729855169918, 0.5390390133961307, 0.5452197460496775, 0.5523180616486617, 0.545541876047451, 0.6020329293533148]",0.5649983986771993,0.029076445684615686,"[0.0, 0.0, 0.5282207668849672, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04401839724041393,0.14599250751926854,"[0.7158673655296129, 0.7216952573158426, 0.6052290315833507, 0.7197371894523803, 0.6824054036330252, 0.7009102312566338, 0.6636931991460812, 0.7017575484452456, 0.7189213134725068, 0.7193689658604558, 0.7000387797311273, 0.7018224823361737]",0.6959538973135363,0.03197038501015322,"[0.6800484085579612, 0.5451994624493879, 0.446088533146503, 0.40814469729388114, 0.438903198470949, 0.5722336388886218, 0.6657529379564955, 0.47752065782990794, 0.6802446085978058, 0.47639348298093387, 0.6969583545851844, 0.5649927107277524]",0.5543733909571155,0.10137331316564822,"[0.0, 0.0, 0.5074440495629623, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04228700413024686,0.1402501262082379,"[0.0, 0.0, 0.5507714762301918, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.045897623019182654,0.15222519432380785
7,gradient_boosting_model,Dreher 2016,Outter Clusters,"[0.4980209655518921, 0.5389070662503409, 0.5500637884614787, 0.5381660175810357, 0.505601953621239, 0.5047253997516667, 0.5044407348815054, 0.5032517625260859, 0.502363679253958, 0.5037681379536164, 0.5007757625325935, 0.5023815494422251]",0.5127055681506364,0.01744895281434885,"[0.6183173529691002, 0.6342088570222779, 0.6423945209154098, 0.6402957870233117, 0.5910471914402852, 0.6180069464545396, 0.6098973104026525, 0.6249430889158982, 0.6311544004291967, 0.611870675814878, 0.6125750997116957, 0.6172189020169495]",0.6209941777596829,0.013929590343964326,"[0.12100669434793662, 0.2462606396165606, 0.29737839545167405, 0.2667419719218977, 0.12607866291216277, 0.13872725593423849, 0.13040015926737009, 0.13196557419803528, 0.11294361454105863, 0.12760097919216645, 0.12016522718738266, 0.11096124449240176]",0.1608525349219071,0.06438180457872589,"[0.6950283715050128, 0.7170642429506467, 0.7152093201894764, 0.7092212196838804, 0.6702313624678663, 0.6845719311301289, 0.6506717850287908, 0.6851051751868554, 0.7038542477442417, 0.7029744230869407, 0.6831000202880909, 0.687998990185869]",0.69208592412065,0.018514251905390383,"[0.5269771342597261, 0.5464312280547838, 0.5572111756466497, 0.5475766130140898, 0.5478994909102648, 0.5483564590684245, 0.5844703139910609, 0.555550183655557, 0.5365143474699179, 0.5259067521673229, 0.545197654744002, 0.5507659202233502]",0.5477381061004292,0.014581339073580706,"[0.42908653846153844, 0.6086601307189542, 0.6129557291666666, 0.5822472701655512, 0.5245653817082389, 0.49149214659685864, 0.5351307189542484, 0.4815989847715736, 0.4576627011896431, 0.46488294314381273, 0.46715328467153283, 0.47903726708074534]",0.5112060913857803,0.05891027017317634,"[0.07043503995264871, 0.15435615870713768, 0.1963094245204337, 0.1729984301412873, 0.07164980384059468, 0.08076137219055812, 0.07424620267513035, 0.07645814445451798, 0.0644208037825059, 0.07394928178755099, 0.06895065718595131, 0.06274788975897488]",0.0972736007497743,0.045672194187665514
8,lr_model,Dreher 2016,Outter Clusters,"[0.5667293204476896, 0.5670465372126434, 0.5691642320037231, 0.5691368941791027, 0.5788940321719918, 0.5892134784597021, 0.5947505003873274, 0.5645216372868977, 0.5672687269349681, 0.5568728653766399, 0.5893616567526423, 0.5659909575637305]",0.5732459032314215,0.011387208002822837,"[0.6086038654922472, 0.6102269319036266, 0.6134419909057042, 0.6126934978710068, 0.6198680862376726, 0.6364720505054859, 0.6376799633207723, 0.6045118318257056, 0.6097552168147145, 0.5958822314502039, 0.6362418947536828, 0.6060304387101442]",0.6159506666492471,0.013211082554121012,"[0.5290273338739684, 0.5264567319613191, 0.52836434769524, 0.5292933360177169, 0.5519294142659722, 0.5514645720831288, 0.5735197072409862, 0.5363200316471345, 0.5279226320280649, 0.5194519621109608, 0.5517165854459836, 0.5374968773419935]",0.5385802943093725,0.01486646884895285,"[0.6027121645004225, 0.6049724899681462, 0.6077343456676818, 0.6067283431455004, 0.6055217594759008, 0.6271931813029877, 0.6133260810443296, 0.5921092696507025, 0.6044645694312043, 0.5914875260622618, 0.6272367162955881, 0.5939021715288441]",0.6064490515061308,0.011252084366594979,"[0.5434764990334424, 0.5357168357425425, 0.5397770566536472, 0.5402205405480613, 0.5809381481938504, 0.5757147896391035, 0.6168718044052451, 0.557268917718744, 0.5410089748373409, 0.5267899630169279, 0.5764062838121654, 0.5587059045214813]",0.557741309843546,0.02460233807380883,"[0.5121928690190283, 0.5049467275494672, 0.5091348477525375, 0.5098419470571124, 0.5687992988606485, 0.5595528005313261, 0.6091499936281382, 0.5267094017094017, 0.5088649241454944, 0.4965238480194018, 0.5609620309542367, 0.528285209192693]",0.5329136582016238,0.032746277641532394,"[0.5470060175594357, 0.5498808660520046, 0.5491034195162635, 0.5502878074306645, 0.5360313855048524, 0.5436068394451016, 0.5418272500566765, 0.5462879016822807, 0.5484633569739953, 0.5446001064018443, 0.5427709545356604, 0.5470354927285671]",0.5455751164906123,0.003916263283550364
9,mlp_model,Dreher 2016,Outter Clusters,"[0.5831202193226099, 0.5887870342495326, 0.5900976724658242, 0.5907175999173251, 0.6053056657500245, 0.6132082209982948, 0.6168346756210096, 0.5818051664124735, 0.584138502146257, 0.5778974060731984, 0.6131535048342469, 0.583960268175735]",0.5940854946638776,0.013424371743474928,"[0.6076423514685149, 0.6159758645782047, 0.6179309780139546, 0.618896843175222, 0.6361425435594841, 0.650135478109452, 0.6524908943244208, 0.6042673249458611, 0.6096027890506267, 0.5996389262676194, 0.6500439873967385, 0.6068156217824886]",0.6224653002227157,0.01864698109251621,"[0.5450798063557494, 0.5487130980235974, 0.5494051220004033, 0.5508830524771013, 0.582915633408959, 0.5764345159877354, 0.6002022485277497, 0.5535439710331829, 0.5442669845053635, 0.5428703977057062, 0.5767012687427913, 0.5550426492724537]",0.5605048956700661,0.017888303657881507,"[0.6196144443108492, 0.6262009814028288, 0.6286972416085078, 0.6284589944321178, 0.6276670905751024, 0.6503660851486939, 0.631584717425862, 0.6095180252483623, 0.6220992290966594, 0.6094757701315079, 0.6499841046369044, 0.6124125874125873]",0.6263399392858319,0.012910596021678529,"[0.6263242954450978, 0.626455279869429, 0.6280777383604701, 0.6295442921343651, 0.6749697481072059, 0.6659197229377607, 0.7010083834773605, 0.6379311480678042, 0.6246380849579687, 0.6214820833004899, 0.6665736696120089, 0.6391976372646346]",0.6451768402945496,0.024506927729358023,"[0.5301137423084095, 0.5281771132834963, 0.5319211245607185, 0.5333137370174407, 0.5960936656954786, 0.5871723368655885, 0.6314933032920266, 0.5452413523548955, 0.5273953617296498, 0.5176546288104239, 0.5882352941176471, 0.547786471229078]",0.5553831776054043,0.03454885130057786,"[0.5609154582223538, 0.5709105977416348, 0.5680775646371977, 0.5696493982208268, 0.570307660540987, 0.5660823744488654, 0.5718657900702788, 0.5621033544877606, 0.5622537431048069, 0.5706685582550097, 0.5656108597285068, 0.562493643852334]",0.5667449169425468,0.003844606690139447
